Z	N	A	EXP	error	T0.5	+	-	idx	Br	UNEDF1	WS4+RBF	URF	l
110	158	268	11725		0.006262435			0	1	11.79933	11.725	0.006262435	0
110	159	269	11510	30	0.17	0.16	0.06	1	1	11.47838	11.452	0.041702932	0
110	160	270	11117	28	0.2	0.07	0.04	1	1	11.12842	11.191	0.141692453	0
110	161	271	10870	18	1.63	0.44	0.02	1	1	11.05157	10.652	1.241186055	0
110	162	272	10510		4.194546026			0	1	10.95773	10.51	4.194546026	0
110	163	273	11270	70	0.16	0.08	0.05	1	1	11.2035	10.601	0.125231809	0
110	164	274	10896		0.409479057			0	1	11.44124	10.896	0.409479057	0
110	165	275	11370	20	0.43	0.29	0.12	1	1	11.32962	10.933	0.067489537	0
110	166	276	10904	28	0.15	0.1	0.04	1	0.43	11.21556	10.872	0.359841755	0
110	167	277	10710	40	3.5	2.1	0.9	1	1	10.8998	10.547	2.413922697	0
110	168	278	10231		17.82752592			0	1	10.58338	10.231	17.82752592	0
													
110	163	273	11020	20	17.34	31.55	6.83	1	1	11.2035	10.601	16.98871648	5
