Z	N	A	EXP	error	T0.5	+	-	idx	Br	UNEDF1	WS4+RBF	URF	delta2	+	-
108	155	262	11233.39		0.050500907			0	1	11.23339	10.938	0.050500907	11.98636228		
108	155	263	10730	80	0.74	0.48	0.21	1	1	11.115001	10.893	0.76610208	10.55469948	12.11390325	6.370841182
108	156	264	10591	20	0.63	0.34	0.16	1	0.7	10.944328	10.658	0.706849621	17.75631256	8.798311912	7.416225325
108	157	265	10470	15	1.9	0.2	0.1	1	1	10.648552	10.53	3.16360728	15.8216869	2.335719856	2.652699247
108	158	266	10346	16	0.74	0.48	0.21	1	0.76	10.302921	10.343	2.749670867	59.83070853	31.66157736	26.68773792
108	159	267	10038	13	53	12	8	1	0.8	9.973814	10.082	40.18909995	5.094423417	1.389965832	1.250117797
108	160	268	9623	16	400	1800	200	1	1	9.603925	9.736	245.9785552	10.54684908	12.81976048	8.815293269
108	161	269	9340	40	13000	10000	4000	1	1	9.516672	9.393	3763.191936	1.994373701	1.775607285	1.131407399
108	162	270	9070	40	7600	4900	2200	1	1	9.402081	9.135	10790.94595	20.98751104	18.17394929	11.34366197
108	163	271	9480	20	7100	8400	2500	1	1	9.62788	9.346	1313.093866	1.345331425	1.021959024	0.804542401
108	164	272	9772	21	160	190	60	1	1	9.837571	9.582	77.56112389	8.934613431	7.36194864	5.350138052
108	165	273	9650	60	510	300	130	1	1	9.786052	9.611	383.2637682	5.829357903	5.648500247	3.317929021
108	166	274	9723.668		97.94193688			0	1	9.723668	9.521	97.94193688	18.40000964		
108	167	275	9450	50	600	230	130	1	0.89	9.464379	9.264	1364.192201	14.96931875	11.61432635	7.168567356
108	168	276	9196.528		3360.845381			0	1	9.196528	9.057	3360.845381	15.91638416		
